"Story","Title","Result","Date","Stability","Duration (s)"
"User buy in demoblaze","A user wants to buy on demoblaze","SKIPPED","2024-04-16T01:20:14.065-05:00[America/Bogota]","0.0","32.49"
"User buy in demoblaze","A user wants to buy on demoblaze","IGNORED","2024-04-16T01:20:14.065-05:00[America/Bogota]","0.0","32.49"
